country,POP,GDP
Argentina,37335.653,295072.2187
Australia,19053.186,541804.6521
India,1006300.297,1728144.375
Israel,6114.57,129253.8942
Malawi,11801.505,5026.221784
South Africa,45064.098,227242.3695
United States,282171.957,9898700
