Date,Open,High,Low,Close,Adj Close,Volume
2019-05-13,1145.239990,1151.969971,1125.500000,1136.589966,1136.589966,2281300
2019-05-14,1142.319946,1144.869995,1123.530029,1124.859985,1124.859985,2019600
2019-05-15,1122.550049,1178.300049,1121.400024,1170.800049,1170.800049,2965100
2019-05-16,1171.839966,1194.160034,1168.449951,1184.500000,1184.500000,1765400
2019-05-17,1175.829956,1186.290039,1166.420044,1168.780029,1168.780029,1268100
2019-05-20,1153.000000,1153.000000,1138.140015,1144.660034,1144.660034,1530100
2019-05-21,1154.479980,1158.000000,1143.310059,1154.439941,1154.439941,1028100
2019-05-22,1151.250000,1163.780029,1151.000000,1155.849976,1155.849976,941300
2019-05-23,1146.069946,1150.050049,1133.160034,1145.339966,1145.339966,1260700
2019-05-24,1152.000000,1154.359985,1136.709961,1138.609985,1138.609985,927700
2019-05-28,1141.479980,1156.489990,1138.670044,1139.560059,1139.560059,1047400
2019-05-29,1132.699951,1135.000000,1111.949951,1119.939941,1119.939941,1811500
2019-05-30,1120.150024,1126.800049,1115.900024,1121.410034,1121.410034,904400
2019-05-31,1105.640015,1113.400024,1103.349976,1106.500000,1106.500000,1579100
2019-06-03,1066.930054,1067.000000,1027.030029,1038.739990,1038.739990,4844500
2019-06-04,1044.489990,1058.439941,1036.030029,1054.489990,1054.489990,3025600
2019-06-05,1055.000000,1056.810059,1033.000000,1044.640015,1044.640015,2349400
2019-06-06,1046.209961,1050.000000,1035.510010,1047.760010,1047.760010,1451000
2019-06-07,1054.280029,1073.430054,1051.150024,1068.369995,1068.369995,2191400
2019-06-10,1077.000000,1094.839966,1075.280029,1082.760010,1082.760010,1425500
2019-06-11,1096.989990,1104.010010,1079.569946,1081.040039,1081.040039,1675400
2019-06-12,1079.949951,1082.520020,1069.599976,1079.099976,1079.099976,1183500
